,threshold,label,precision,recall,f1
640,64.0,0.0,0.9294117647058824,0.9294117647058824,0.9294117647058824
641,64.0,1.0,0.9302325581395349,0.975609756097561,0.9523809523809524
642,64.0,2.0,0.875,0.7623762376237624,0.8148148148148149
643,64.0,3.0,0.9104477611940298,0.6224489795918368,0.7393939393939395
644,64.0,4.0,0.8645833333333334,0.8217821782178217,0.8426395939086294
645,64.0,5.0,0.7692307692307693,0.4716981132075472,0.584795321637427
646,64.0,6.0,0.970873786407767,0.9090909090909091,0.9389671361502346
647,64.0,7.0,0.8736842105263158,0.8469387755102041,0.8601036269430051
648,64.0,8.0,0.4540540540540541,0.8936170212765957,0.6021505376344086
649,64.0,9.0,0.7586206896551724,0.7857142857142857,0.7719298245614034
650,65.0,0.0,0.9069767441860465,0.9176470588235294,0.9122807017543859
651,65.0,1.0,0.9230769230769231,0.975609756097561,0.9486166007905139
652,65.0,2.0,0.8173076923076923,0.8415841584158416,0.8292682926829268
653,65.0,3.0,0.8829787234042553,0.8469387755102041,0.8645833333333334
654,65.0,4.0,0.8367346938775511,0.8118811881188119,0.8241206030150754
655,65.0,5.0,0.8596491228070176,0.46226415094339623,0.6012269938650306
656,65.0,6.0,0.9433962264150944,0.9090909090909091,0.9259259259259259
657,65.0,7.0,0.8673469387755102,0.8673469387755102,0.8673469387755102
658,65.0,8.0,0.5808823529411765,0.8404255319148937,0.6869565217391305
659,65.0,9.0,0.7692307692307693,0.8333333333333334,0.8
660,66.0,0.0,0.9080459770114943,0.9294117647058824,0.9186046511627908
661,66.0,1.0,0.9375,0.975609756097561,0.9561752988047808
662,66.0,2.0,0.8387096774193549,0.7722772277227723,0.8041237113402062
663,66.0,3.0,0.822429906542056,0.8979591836734694,0.8585365853658536
664,66.0,4.0,0.8217821782178217,0.8217821782178217,0.8217821782178217
665,66.0,5.0,0.7448979591836735,0.6886792452830188,0.7156862745098039
666,66.0,6.0,0.9339622641509434,0.9,0.9166666666666666
667,66.0,7.0,0.8557692307692307,0.9081632653061225,0.8811881188118811
668,66.0,8.0,0.723404255319149,0.723404255319149,0.723404255319149
669,66.0,9.0,0.7926829268292683,0.7738095238095238,0.783132530120482
670,67.0,0.0,0.8681318681318682,0.9294117647058824,0.8977272727272727
671,67.0,1.0,0.9230769230769231,0.975609756097561,0.9486166007905139
672,67.0,2.0,0.8617021276595744,0.801980198019802,0.8307692307692307
673,67.0,3.0,0.87,0.8877551020408163,0.8787878787878789
674,67.0,4.0,0.8058252427184466,0.8217821782178217,0.8137254901960784
675,67.0,5.0,0.7978723404255319,0.7075471698113207,0.75
676,67.0,6.0,0.9017857142857143,0.9181818181818182,0.9099099099099099
677,67.0,7.0,0.8240740740740741,0.9081632653061225,0.8640776699029127
678,67.0,8.0,0.7528089887640449,0.7127659574468085,0.7322404371584699
679,67.0,9.0,0.7974683544303798,0.75,0.7730061349693252
680,68.0,0.0,0.8791208791208791,0.9411764705882353,0.9090909090909091
681,68.0,1.0,0.9302325581395349,0.975609756097561,0.9523809523809524
682,68.0,2.0,0.8118811881188119,0.8118811881188119,0.8118811881188119
683,68.0,3.0,0.84375,0.826530612244898,0.8350515463917526
684,68.0,4.0,0.8137254901960784,0.8217821782178217,0.8177339901477833
