,threshold,label,precision (count),recall (count),f1 (count),precision (sum),recall (sum),f1 (sum)
110,11.0,0.0,0.5,0.3058823529411765,0.3795620437956205,0.5961538461538461,0.7294117647058823,0.656084656084656
111,11.0,1.0,0.0,0.0,0.0,0.6923076923076923,0.5853658536585366,0.6343612334801763
112,11.0,2.0,0.8289473684210527,0.6237623762376238,0.7118644067796609,0.6981132075471698,0.7326732673267327,0.714975845410628
113,11.0,3.0,0.5,0.01020408163265306,0.019999999999999997,0.5107913669064749,0.7244897959183674,0.59915611814346
114,11.0,4.0,0.8727272727272727,0.4752475247524752,0.6153846153846154,0.7818181818181819,0.8514851485148515,0.8151658767772512
115,11.0,5.0,1.0,0.02830188679245283,0.055045871559633024,0.3333333333333333,0.018867924528301886,0.03571428571428571
116,11.0,6.0,0.91,0.8272727272727273,0.8666666666666667,0.8048780487804879,0.9,0.8497854077253219
117,11.0,7.0,0.8823529411764706,0.30612244897959184,0.45454545454545453,0.7924528301886793,0.8571428571428571,0.8235294117647058
118,11.0,8.0,0.16666666666666666,0.925531914893617,0.2824675324675324,0.42105263157894735,0.425531914893617,0.4232804232804233
119,11.0,9.0,0.461038961038961,0.8452380952380952,0.5966386554621849,0.6261682242990654,0.7976190476190477,0.7015706806282722
120,12.0,0.0,0.0,0.0,0.0,0.6019417475728155,0.7294117647058823,0.6595744680851063
121,12.0,1.0,0.0,0.0,0.0,0.7087378640776699,0.5934959349593496,0.6460176991150443
122,12.0,2.0,0.6666666666666666,0.594059405940594,0.6282722513089005,0.6981132075471698,0.7326732673267327,0.714975845410628
123,12.0,3.0,0.15548281505728315,0.9693877551020408,0.26798307475317346,0.5071428571428571,0.7244897959183674,0.5966386554621849
124,12.0,4.0,0.7796610169491526,0.45544554455445546,0.5750000000000001,0.7747747747747747,0.8514851485148515,0.8113207547169811
125,12.0,5.0,0.0,0.0,0.0,0.3333333333333333,0.018867924528301886,0.03571428571428571
126,12.0,6.0,0.9305555555555556,0.6090909090909091,0.7362637362637363,0.8048780487804879,0.9,0.8497854077253219
127,12.0,7.0,0.9464285714285714,0.5408163265306123,0.6883116883116884,0.7924528301886793,0.8571428571428571,0.8235294117647058
128,12.0,8.0,0.0,0.0,0.0,0.42105263157894735,0.425531914893617,0.4232804232804233
129,12.0,9.0,0.5961538461538461,0.7380952380952381,0.6595744680851063,0.6261682242990654,0.7976190476190477,0.7015706806282722
130,13.0,0.0,0.42016806722689076,0.5882352941176471,0.4901960784313726,0.6019417475728155,0.7294117647058823,0.6595744680851063
131,13.0,1.0,0.23076923076923078,0.024390243902439025,0.04411764705882353,0.7087378640776699,0.5934959349593496,0.6460176991150443
132,13.0,2.0,0.292358803986711,0.8712871287128713,0.43781094527363185,0.6981132075471698,0.7326732673267327,0.714975845410628
133,13.0,3.0,0.25,0.05102040816326531,0.0847457627118644,0.5071428571428571,0.7244897959183674,0.5966386554621849
134,13.0,4.0,0.3828125,0.9702970297029703,0.5490196078431372,0.7747747747747747,0.8514851485148515,0.8113207547169811
135,13.0,5.0,0.2857142857142857,0.18867924528301888,0.2272727272727273,0.3333333333333333,0.018867924528301886,0.03571428571428571
136,13.0,6.0,0.896551724137931,0.7090909090909091,0.7918781725888325,0.8048780487804879,0.9,0.8497854077253219
137,13.0,7.0,0.7570093457943925,0.826530612244898,0.7902439024390243,0.7924528301886793,0.8571428571428571,0.8235294117647058
138,13.0,8.0,0.7222222222222222,0.13829787234042554,0.23214285714285715,0.42105263157894735,0.425531914893617,0.4232804232804233
139,13.0,9.0,0.6666666666666666,0.07142857142857142,0.12903225806451613,0.6261682242990654,0.7976190476190477,0.7015706806282722
140,14.0,0.0,0.4634146341463415,0.2235294117647059,0.30158730158730157,0.5961538461538461,0.7294117647058823,0.656084656084656
141,14.0,1.0,0.4469026548672566,0.8211382113821138,0.5787965616045845,0.7058823529411765,0.5853658536585366,0.64
142,14.0,2.0,0.7078651685393258,0.6237623762376238,0.6631578947368421,0.6981132075471698,0.7326732673267327,0.714975845410628
143,14.0,3.0,0.3212669683257919,0.7244897959183674,0.44514106583072105,0.5,0.7244897959183674,0.5916666666666667
144,14.0,4.0,0.8571428571428571,0.7722772277227723,0.8125,0.7889908256880734,0.8514851485148515,0.819047619047619
145,14.0,5.0,0.5,0.009433962264150943,0.018518518518518517,0.3333333333333333,0.018867924528301886,0.03571428571428571
146,14.0,6.0,0.7734375,0.9,0.8319327731092439,0.8048780487804879,0.9,0.8497854077253219
147,14.0,7.0,0.7521367521367521,0.8979591836734694,0.8186046511627907,0.7924528301886793,0.8571428571428571,0.8235294117647058
148,14.0,8.0,0.0,0.0,0.0,0.42105263157894735,0.425531914893617,0.4232804232804233
149,14.0,9.0,0.6705882352941176,0.6785714285714286,0.6745562130177514,0.6261682242990654,0.7976190476190477,0.7015706806282722
150,15.0,0.0,0.28205128205128205,0.38823529411764707,0.3267326732673267,0.5904761904761905,0.7294117647058823,0.6526315789473685
151,15.0,1.0,0.0,0.0,0.0,0.7029702970297029,0.5772357723577236,0.6339285714285714
152,15.0,2.0,0.9375,0.297029702970297,0.4511278195488721,0.6981132075471698,0.7326732673267327,0.714975845410628
153,15.0,3.0,0.2974683544303797,0.47959183673469385,0.36718749999999994,0.5,0.7244897959183674,0.5916666666666667
154,15.0,4.0,0.6141732283464567,0.7722772277227723,0.6842105263157895,0.7889908256880734,0.8514851485148515,0.819047619047619
155,15.0,5.0,0.23076923076923078,0.05660377358490566,0.09090909090909091,0.3333333333333333,0.018867924528301886,0.03571428571428571
156,15.0,6.0,0.2704714640198511,0.990909090909091,0.4249512670565302,0.8048780487804879,0.9,0.8497854077253219
157,15.0,7.0,0.81,0.826530612244898,0.8181818181818183,0.7924528301886793,0.8571428571428571,0.8235294117647058
158,15.0,8.0,0.5,0.0851063829787234,0.14545454545454545,0.42105263157894735,0.425531914893617,0.4232804232804233
159,15.0,9.0,0.5882352941176471,0.11904761904761904,0.198019801980198,0.6261682242990654,0.7976190476190477,0.7015706806282722
160,16.0,0.0,0.20610687022900764,0.9529411764705882,0.3389121338912134,0.5904761904761905,0.7294117647058823,0.6526315789473685
161,16.0,1.0,0.0,0.0,0.0,0.71,0.5772357723577236,0.6367713004484306
162,16.0,2.0,0.8620689655172413,0.24752475247524752,0.38461538461538464,0.6981132075471698,0.7326732673267327,0.714975845410628
163,16.0,3.0,0.43333333333333335,0.7959183673469388,0.5611510791366907,0.5,0.7244897959183674,0.5916666666666667
164,16.0,4.0,0.8170731707317073,0.6633663366336634,0.73224043715847,0.7818181818181819,0.8514851485148515,0.8151658767772512
165,16.0,5.0,0.0,0.0,0.0,0.3333333333333333,0.018867924528301886,0.03571428571428571
166,16.0,6.0,0.7890625,0.9181818181818182,0.8487394957983193,0.8048780487804879,0.9,0.8497854077253219
167,16.0,7.0,0.8522727272727273,0.7653061224489796,0.8064516129032258,0.7924528301886793,0.8571428571428571,0.8235294117647058
168,16.0,8.0,0.0,0.0,0.0,0.42105263157894735,0.425531914893617,0.4232804232804233
169,16.0,9.0,0.673469387755102,0.7857142857142857,0.7252747252747253,0.6261682242990654,0.7976190476190477,0.7015706806282722
170,17.0,0.0,0.0,0.0,0.0,0.5961538461538461,0.7294117647058823,0.656084656084656
171,17.0,1.0,0.27313769751693,0.983739837398374,0.4275618374558303,0.7128712871287128,0.5853658536585366,0.6428571428571429
172,17.0,2.0,0.6222222222222222,0.5544554455445545,0.5863874345549739,0.6981132075471698,0.7326732673267327,0.714975845410628
173,17.0,3.0,0.53125,0.3469387755102041,0.4197530864197531,0.5,0.7244897959183674,0.5916666666666667
174,17.0,4.0,0.7216494845360825,0.693069306930693,0.7070707070707072,0.7818181818181819,0.8514851485148515,0.8151658767772512
175,17.0,5.0,0.2962962962962963,0.07547169811320754,0.12030075187969926,0.3333333333333333,0.018867924528301886,0.03571428571428571
176,17.0,6.0,0.6645161290322581,0.9363636363636364,0.7773584905660378,0.8048780487804879,0.9,0.8497854077253219
177,17.0,7.0,0.7578947368421053,0.7346938775510204,0.7461139896373057,0.7924528301886793,0.8571428571428571,0.8235294117647058
178,17.0,8.0,0.0,0.0,0.0,0.42105263157894735,0.425531914893617,0.4232804232804233
179,17.0,9.0,0.6956521739130435,0.19047619047619047,0.29906542056074764,0.6261682242990654,0.7976190476190477,0.7015706806282722
180,18.0,0.0,0.5154639175257731,0.5882352941176471,0.5494505494505494,0.5961538461538461,0.7294117647058823,0.656084656084656
181,18.0,1.0,0.6555555555555556,0.4796747967479675,0.5539906103286385,0.7128712871287128,0.5853658536585366,0.6428571428571429
182,18.0,2.0,0.8974358974358975,0.3465346534653465,0.5,0.6981132075471698,0.7326732673267327,0.714975845410628
183,18.0,3.0,0.47368421052631576,0.2755102040816326,0.34838709677419355,0.5,0.7244897959183674,0.5916666666666667
184,18.0,4.0,0.9210526315789473,0.3465346534653465,0.5035971223021584,0.7818181818181819,0.8514851485148515,0.8151658767772512
185,18.0,5.0,0.10344827586206896,0.14150943396226415,0.1195219123505976,0.3333333333333333,0.018867924528301886,0.03571428571428571
186,18.0,6.0,0.5,0.990909090909091,0.6646341463414634,0.8048780487804879,0.9,0.8497854077253219
187,18.0,7.0,0.8571428571428571,0.7346938775510204,0.7912087912087913,0.7924528301886793,0.8571428571428571,0.8235294117647058
188,18.0,8.0,0.2833333333333333,0.5425531914893617,0.3722627737226277,0.42105263157894735,0.425531914893617,0.4232804232804233
189,18.0,9.0,0.6538461538461539,0.40476190476190477,0.5,0.6261682242990654,0.7976190476190477,0.7015706806282722
190,19.0,0.0,1.0,0.011764705882352941,0.023255813953488372,0.5961538461538461,0.7294117647058823,0.656084656084656
191,19.0,1.0,0.2019704433497537,1.0,0.3360655737704918,0.7128712871287128,0.5853658536585366,0.6428571428571429
192,19.0,2.0,0.967741935483871,0.297029702970297,0.4545454545454545,0.6981132075471698,0.7326732673267327,0.714975845410628
193,19.0,3.0,0.5476190476190477,0.23469387755102042,0.32857142857142857,0.5,0.7244897959183674,0.5916666666666667
194,19.0,4.0,0.8133333333333334,0.6039603960396039,0.6931818181818181,0.7818181818181819,0.8514851485148515,0.8151658767772512
195,19.0,5.0,0.0,0.0,0.0,0.3333333333333333,0.018867924528301886,0.03571428571428571
196,19.0,6.0,0.8928571428571429,0.6818181818181818,0.7731958762886597,0.8048780487804879,0.9,0.8497854077253219
197,19.0,7.0,0.8607594936708861,0.6938775510204082,0.768361581920904,0.7924528301886793,0.8571428571428571,0.8235294117647058
198,19.0,8.0,0.0,0.0,0.0,0.42105263157894735,0.425531914893617,0.4232804232804233
199,19.0,9.0,0.6842105263157895,0.6190476190476191,0.6500000000000001,0.6261682242990654,0.7976190476190477,0.7015706806282722
200,20.0,0.0,0.3248730964467005,0.7529411764705882,0.45390070921985803,0.5961538461538461,0.7294117647058823,0.656084656084656
201,20.0,1.0,0.3342776203966006,0.959349593495935,0.4957983193277311,0.7128712871287128,0.5853658536585366,0.6428571428571429
202,20.0,2.0,0.9107142857142857,0.504950495049505,0.6496815286624205,0.6981132075471698,0.7326732673267327,0.714975845410628
203,20.0,3.0,0.5454545454545454,0.12244897959183673,0.2,0.5,0.7244897959183674,0.5916666666666667
204,20.0,4.0,0.7837837837837838,0.8613861386138614,0.8207547169811322,0.7818181818181819,0.8514851485148515,0.8151658767772512
205,20.0,5.0,0.0,0.0,0.0,0.3333333333333333,0.018867924528301886,0.03571428571428571
206,20.0,6.0,0.8818181818181818,0.8818181818181818,0.8818181818181818,0.8048780487804879,0.9,0.8497854077253219
207,20.0,7.0,0.8444444444444444,0.7755102040816326,0.8085106382978723,0.7924528301886793,0.8571428571428571,0.8235294117647058
208,20.0,8.0,0.0,0.0,0.0,0.42105263157894735,0.425531914893617,0.4232804232804233
209,20.0,9.0,0.7377049180327869,0.5357142857142857,0.6206896551724138,0.6261682242990654,0.7976190476190477,0.7015706806282722
210,21.0,0.0,0.425531914893617,0.23529411764705882,0.30303030303030304,0.5961538461538461,0.7294117647058823,0.656084656084656
211,21.0,1.0,0.0,0.0,0.0,0.7128712871287128,0.5853658536585366,0.6428571428571429
212,21.0,2.0,0.4068627450980392,0.8217821782178217,0.5442622950819672,0.6981132075471698,0.7326732673267327,0.714975845410628
213,21.0,3.0,1.0,0.01020408163265306,0.020202020202020204,0.5,0.7244897959183674,0.5916666666666667
214,21.0,4.0,0.5,0.019801980198019802,0.03809523809523809,0.7818181818181819,0.8514851485148515,0.8151658767772512
215,21.0,5.0,0.6666666666666666,0.018867924528301886,0.03669724770642202,0.3333333333333333,0.018867924528301886,0.03571428571428571
